ID	Grupo	A√±o	Dia_Juliano	Fecha_Nacimiento	Arquetipo_Operador	Entidad_Censal	Poblacion_Total	Hombres	Mujeres	Edad_Mediana_Total	Relacion_H_M	Indice_Envejecimiento_Total	Razon_Dependencia_Total	Razon_Dependencia_Infantil	Razon_Dependencia_Vejez
1	Eje_Norte_Guadalajara	1855	13	13/01/1855	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
2	Eje_Norte_Guadalajara	1856	26	26/01/1856	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
3	Eje_Norte_Guadalajara	1857	39	08/02/1857	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
4	Eje_Norte_Guadalajara	1858	52	21/02/1858	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
5	Eje_Norte_Guadalajara	1859	65	06/03/1859	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
6	Eje_Norte_Guadalajara	1860	78	19/03/1860	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
7	Eje_Norte_Guadalajara	1861	91	01/04/1861	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
8	Eje_Norte_Guadalajara	1862	104	14/04/1862	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
9	Eje_Norte_Guadalajara	1863	117	27/04/1863	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
10	Eje_Norte_Guadalajara	1864	130	10/05/1864	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
11	Eje_Norte_Guadalajara	1865	143	23/05/1865	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
12	Eje_Norte_Guadalajara	1866	156	05/06/1866	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
13	Eje_Norte_Guadalajara	1867	169	18/06/1867	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
14	Eje_Norte_Guadalajara	1868	182	01/07/1868	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
15	Eje_Norte_Guadalajara	1869	195	14/07/1869	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
16	Eje_Norte_Guadalajara	1870	208	27/07/1870	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
17	Eje_Norte_Guadalajara	1871	221	09/08/1871	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
18	Eje_Norte_Guadalajara	1872	234	22/08/1872	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
19	Eje_Norte_Guadalajara	1873	247	04/09/1873	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
20	Eje_Norte_Guadalajara	1874	260	17/09/1874	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
21	Eje_Norte_Guadalajara	1875	273	30/09/1875	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
22	Eje_Norte_Guadalajara	1876	286	13/10/1876	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
23	Eje_Norte_Guadalajara	1877	299	26/10/1877	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
24	Eje_Norte_Guadalajara	1878	312	08/11/1878	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
25	Eje_Norte_Guadalajara	1879	325	21/11/1879	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
26	Eje_Norte_Guadalajara	1880	338	04/12/1880	Sophia (Sabiduría)	Jalisco	8348151	4098455	4249696	29	96.44	47.49	50.66	38.21	12.46
27	Eje_Este_Potosi	1881	14	14/01/1881	Sophia (Sabiduría)	San Luis Potos√≠	2822255	1372451	1449804	29	94.66	49.78	53.29	39.48	13.8
28	Eje_Este_Potosi	1882	27	27/01/1882	Sophia (Sabiduría)	San Luis Potos√≠	2822255	1372451	1449804	29	94.66	49.78	53.29	39.48	13.8
29	Eje_Este_Potosi	1883	40	09/02/1883	Sophia (Sabiduría)	San Luis Potos√≠	2822255	1372451	1449804	29	94.66	49.78	53.29	39.48	13.8
